region,county,county_code,GEO_ID,county_pop,region_code,region_pop
Capital Region,Albany,36001,0500000US36001,314848,1,1106088
Capital Region,Washington,36115,0500000US36115,61302,1,1106088
Capital Region,Rensselaer,36083,0500000US36083,161130,1,1106088
Capital Region,Schenectady,36093,0500000US36093,158061,1,1106088
Capital Region,Warren,36113,0500000US36113,65737,1,1106088
Capital Region,Greene,36039,0500000US36039,47931,1,1106088
Capital Region,Saratoga,36091,0500000US36091,235509,1,1106088
Capital Region,Columbia,36021,0500000US36021,61570,1,1106088
Central New York,Madison,36053,0500000US36053,68016,2,785114
Central New York,Onondaga,36067,0500000US36067,476516,2,785114
Central New York,Oswego,36075,0500000US36075,117525,2,785114
Central New York,Cayuga,36011,0500000US36011,76248,2,785114
Central New York,Cortland,36023,0500000US36023,46809,2,785114
Finger Lakes,Seneca,36099,0500000US36099,33814,3,1222868
Finger Lakes,Ontario,36069,0500000US36069,112458,3,1222868
Finger Lakes,Monroe,36055,0500000US36055,759443,3,1222868
Finger Lakes,Livingston,36051,0500000US36051,61834,3,1222868
Finger Lakes,Orleans,36073,0500000US36073,40343,3,1222868
Finger Lakes,Genesee,36037,0500000US36037,58388,3,1222868
Finger Lakes,Wayne,36117,0500000US36117,91283,3,1222868
Finger Lakes,Wyoming,36121,0500000US36121,40531,3,1222868
Finger Lakes,Yates,36123,0500000US36123,24774,3,1222868
Long Island,Suffolk,36103,0500000US36103,1525920,4,2921694
Long Island,Nassau,36059,0500000US36059,1395774,4,2921694
Mid-Hudson,Dutchess,36027,0500000US36027,295911,5,2398150
Mid-Hudson,Putnam,36079,0500000US36079,97668,5,2398150
Mid-Hudson,Ulster,36111,0500000US36111,181851,5,2398150
Mid-Hudson,Rockland,36087,0500000US36087,338329,5,2398150
Mid-Hudson,Orange,36071,0500000US36071,401310,5,2398150
Mid-Hudson,Westchester,36119,0500000US36119,1004457,5,2398150
Mid-Hudson,Sullivan,36105,0500000US36105,78624,5,2398150
Mohawk Valley,Herkimer,36043,0500000US36043,60139,6,483358
Mohawk Valley,Otsego,36077,0500000US36077,58524,6,483358
Mohawk Valley,Oneida,36065,0500000US36065,232125,6,483358
Mohawk Valley,Schoharie,36095,0500000US36095,29714,6,483358
Mohawk Valley,Montgomery,36057,0500000US36057,49532,6,483358
Mohawk Valley,Fulton,36035,0500000US36035,53324,6,483358
New York City,Richmond,36085,0500000US36085,495747,7,8804190
New York City,Bronx,36005,0500000US36005,1472654,7,8804190
New York City,Kings,36047,0500000US36047,2736074,7,8804190
New York City,New York,36061,0500000US36061,1694251,7,8804190
New York City,Queens,36081,0500000US36081,2405464,7,8804190
North Country,Clinton,36019,0500000US36019,79843,8,421694
North Country,Franklin,36033,0500000US36033,47555,8,421694
North Country,Hamilton,36041,0500000US36041,5107,8,421694
North Country,Essex,36031,0500000US36031,37381,8,421694
North Country,Lewis,36049,0500000US36049,26582,8,421694
North Country,Jefferson,36045,0500000US36045,116721,8,421694
North Country,St. Lawrence,36089,0500000US36089,108505,8,421694
Southern Tier,Chenango,36017,0500000US36017,47220,9,640036
Southern Tier,Schuyler,36097,0500000US36097,17898,9,640036
Southern Tier,Delaware,36025,0500000US36025,44308,9,640036
Southern Tier,Broome,36007,0500000US36007,198683,9,640036
Southern Tier,Chemung,36015,0500000US36015,84148,9,640036
Southern Tier,Steuben,36101,0500000US36101,93584,9,640036
Southern Tier,Tompkins,36109,0500000US36109,105740,9,640036
Southern Tier,Tioga,36107,0500000US36107,48455,9,640036
Western New York,Allegany,36003,0500000US36003,46456,10,1418057
Western New York,Chautauqua,36013,0500000US36013,127657,10,1418057
Western New York,Cattaraugus,36009,0500000US36009,77042,10,1418057
Western New York,Erie,36029,0500000US36029,954236,10,1418057
Western New York,Niagara,36063,0500000US36063,212666,10,1418057
