start	center	end	avg_pi	avg_h	avg_depth	cov_bin	avg_pi_z
0	500	1000	0.0017522671171184083	0.0036490122514400373	3641.4285714285716	(3e+03,3.84e+03]	-1.3443165357188511
100	600	1100	0.0023312451128451117	0.004873605494758715	3115.4814814814813	(3e+03,3.84e+03]	-0.9038319807909364
200	700	1200	0.0029278282563854775	0.005825632458245926	2903.206896551724	(2.15e+03,3e+03]	-0.4303073023616391
300	800	1300	0.0028602908823198293	0.005674161940185507	2987.464285714286	(2.15e+03,3e+03]	-0.4718741772302263
400	900	1400	0.0028478301272264893	0.005650475922540361	2681.75	(2.15e+03,3e+03]	-0.47954333308502023
500	1000	1500	0.002545648317702635	0.005095682303034483	2165.423076923077	(2.15e+03,3e+03]	-0.6655255930975561
600	1100	1600	0.0025391030950699346	0.0050822554562092795	2175.730769230769	(2.15e+03,3e+03]	-0.669553947085617
700	1200	1700	0.0031635803590805674	0.005973997407997223	2019.7692307692307	(1.31e+03,2.15e+03]	-0.2571278676633341
800	1300	1800	0.0035022103581216755	0.0066558030583790985	1859.7142857142858	(1.31e+03,2.15e+03]	-0.1414515529770897
900	1400	1900	0.0038244578244325217	0.006924695100724281	1646.72	(1.31e+03,2.15e+03]	-0.031371526324479954
1000	1500	2000	0.003690306675910059	0.006672508138820876	1610.875	(1.31e+03,2.15e+03]	-0.07719768028587694
1100	1600	2100	0.003081698285799709	0.00536101302843479	1785	(1.31e+03,2.15e+03]	-0.28509885813322716
1200	1700	2200	0.0028196715724133578	0.00503728870951168	2342.2105263157896	(2.15e+03,3e+03]	-0.49687393174377126
1300	1800	2300	0.0028196715724133578	0.00503728870951168	2342.2105263157896	(2.15e+03,3e+03]	-0.49687393174377126
1400	1900	2400	0.00297001286596931	0.0051869000526370106	2427.777777777778	(2.15e+03,3e+03]	-0.40434416103122656
1500	2000	2500	0.0028807707996920742	0.005046040117967248	2423.777777777778	(2.15e+03,3e+03]	-0.4592695094517066
1600	2100	2600	0.0029100399835751056	0.005102649045765235	2175.5	(2.15e+03,3e+03]	-0.4412553577201181
1700	2200	2700	0.0020691053441208506	0.00374989654769225	2030.6	(1.31e+03,2.15e+03]	-0.6310015250629051
1800	2300	2800	0.002263627123746843	0.003937991647521997	3074.133333333333	(3e+03,3.84e+03]	-0.9552755245057323
1900	2400	2900	0.0016544437599737428	0.0030367497312737703	3375.714285714286	(3e+03,3.84e+03]	-1.418740224099855
2000	2500	3000	0.0017692856285961818	0.0032681128372246296	3864.214285714286	(3.84e+03,4.68e+03]	-0.9941139477607547
2100	2600	3100	0.0022094125963125965	0.003970610610744823	4383.411764705882	(3.84e+03,4.68e+03]	-0.6350629155123201
2200	2700	3200	0.0018331751186773772	0.0032794807766230805	4591.076923076923	(3.84e+03,4.68e+03]	-0.9419935619491315
2300	2800	3300	0.0018331751186773772	0.0032794807766230805	4591.076923076923	(3.84e+03,4.68e+03]	-0.9419935619491315
2400	2900	3400	0.0019795848103388238	0.0034399201687200444	4467.2307692307695	(3.84e+03,4.68e+03]	-0.8225540484038296
2500	3000	3500	0.0024659385592129507	0.004241755443786444	3947.866666666667	(3.84e+03,4.68e+03]	-0.4257916857674479
2600	3100	3600	0.002494287809433254	0.004319664801228959	3772.125	(3e+03,3.84e+03]	-0.7797896334634998
2700	3200	3700	0.0025462645203273423	0.004413086943223795	3656.9375	(3e+03,3.84e+03]	-0.740245922763298
2800	3300	3800	0.0027079990477438523	0.0046492751974383136	2766.176470588235	(2.15e+03,3e+03]	-0.5656044372366931
2900	3400	3900	0.0033589232245758833	0.006000349964649198	2648.875	(2.15e+03,3e+03]	-0.1649835338978233
3000	3500	4000	0.003400975801947149	0.006137219243633089	2298	(2.15e+03,3e+03]	-0.1391016537436751
3100	3600	4100	0.0029608488342307343	0.005434721470112895	1734.4583333333333	(1.31e+03,2.15e+03]	-0.32638114035552884
3200	3700	4200	0.0030912224150115596	0.005727936511739835	1825.4615384615386	(1.31e+03,2.15e+03]	-0.28184540695955024
3300	3800	4300	0.0034249156813659742	0.006375779700237364	1851.103448275862	(1.31e+03,2.15e+03]	-0.16785548463489486
3400	3900	4400	0.003919217911843637	0.0073151689298717884	2248.6060606060605	(2.15e+03,3e+03]	0.17985811085660067
3500	4000	4500	0.0033655852169800116	0.006362263553971108	2410.4333333333334	(2.15e+03,3e+03]	-0.16088331222843016
3600	4100	4600	0.00350725180232737	0.006695825041869775	3033.65625	(3e+03,3.84e+03]	-0.009129959242328175
3700	4200	4700	0.0034758306817375675	0.006662470842989832	3242.84375	(3e+03,3.84e+03]	-0.03303504444502861
3800	4300	4800	0.0028505577643325782	0.005734462173375022	3600.9032258064517	(3e+03,3.84e+03]	-0.5087406235247977
3900	4400	4900	0.0022925457735625495	0.0045706124720026765	4158	(3.84e+03,4.68e+03]	-0.5672437285614305
4000	4500	5000	0.002149944092629099	0.004228148530398098	4433.772727272727	(3.84e+03,4.68e+03]	-0.6835767063045887
4100	4600	5100	0.002260580078423462	0.0044858771923668665	4173.875	(3.84e+03,4.68e+03]	-0.5933210123411039
4200	4700	5200	0.0022453802233670397	0.004457507279235552	4071	(3.84e+03,4.68e+03]	-0.6057208970297229
4300	4800	5300	0.0025962304443426752	0.004925023423150637	4090.782608695652	(3.84e+03,4.68e+03]	-0.3195009122387407
4400	4900	5400	0.0017317415183137987	0.00351701780860936	3907.7368421052633	(3.84e+03,4.68e+03]	-1.0247420449702498
4500	5000	5500	0.0018087242596461254	0.0036851162001297444	3753.55	(3e+03,3.84e+03]	-1.3013641273676329
4600	5100	5600	0.001575532572698156	0.0031299113241430904	3011.875	(3e+03,3.84e+03]	-1.4787755958453603
4700	5200	5700	0.0016816024651358891	0.003360670368991908	2579.4117647058824	(2.15e+03,3e+03]	-1.1973153810666977
4800	5300	5800	0.002207240762222006	0.004161042744974119	2136.1052631578946	(1.31e+03,2.15e+03]	-0.5838143410011486
4900	5400	5900	0.002337534497547129	0.004462600934404795	1724.3333333333333	(1.31e+03,2.15e+03]	-0.5393058828852286
5000	5500	6000	0.0023189874428440364	0.004428827242907095	1661.047619047619	(1.31e+03,2.15e+03]	-0.5456415735872137
5100	5600	6100	0.0022720252485956003	0.004315806499804932	1741.75	(1.31e+03,2.15e+03]	-0.5616839017200473
5200	5700	6200	0.0028397164179268172	0.0052274145856143405	2603.1304347826085	(2.15e+03,3e+03]	-0.48453703536979864
5300	5800	6300	0.002297610907826972	0.0044537064209037806	2953	(2.15e+03,3e+03]	-0.8181838822547334
5400	5900	6400	0.0024129016189550104	0.004720116854981723	3283.8846153846152	(3e+03,3.84e+03]	-0.8417079795054618
5500	6000	6500	0.002599692819003419	0.005111742976231394	3611.5714285714284	(3e+03,3.84e+03]	-0.6995978488527372
5600	6100	6600	0.0030573842467218173	0.006004576248324664	3798.125	(3e+03,3.84e+03]	-0.3513877159619096
5700	6200	6700	0.0035127361295539026	0.006725314224833838	3788.909090909091	(3e+03,3.84e+03]	-0.004957501125977798
5800	6300	6800	0.002989734454429737	0.005930926730895553	4002.1935483870966	(3.84e+03,4.68e+03]	0.00151559295003799
5900	6400	6900	0.0027867758685612433	0.005479127627660364	4282.535714285715	(3.84e+03,4.68e+03]	-0.16405592414618045
6000	6500	7000	0.0033163407295815944	0.006279543566357353	4101.068965517241	(3.84e+03,4.68e+03]	0.26795761726073586
6100	6600	7100	0.0032526669380356673	0.006134835647490746	4155.285714285715	(3.84e+03,4.68e+03]	0.21601319608528213
6200	6700	7200	0.0028415229430142556	0.005405714112886032	3726.5	(3e+03,3.84e+03]	-0.515614285868838
6300	6800	7300	0.004197998306086205	0.007751009667770225	2852.8064516129034	(2.15e+03,3e+03]	0.35143762403151796
6400	6900	7400	0.004727255277168611	0.008481387862914972	2425.3225806451615	(2.15e+03,3e+03]	0.6771766477152882
6500	7000	7500	0.004656297190306805	0.008320671157096149	2140.8333333333335	(1.31e+03,2.15e+03]	0.25278555523284096
6600	7100	7600	0.004296837894873681	0.007631548979023608	1709.111111111111	(1.31e+03,2.15e+03]	0.129993934014515
6700	7200	7700	0.0038177828163618007	0.006863469026982424	1811.8148148148148	(1.31e+03,2.15e+03]	-0.03365171513323404
6800	7300	7800	0.003953565558657565	0.007028666631522485	2010.3846153846155	(1.31e+03,2.15e+03]	0.012731792740382589
6900	7400	7900	0.004508756668925757	0.0080153772046469	2643.4666666666667	(2.15e+03,3e+03]	0.5426984505179423
7000	7500	8000	0.004172224726789386	0.007609126449775512	2968.935483870968	(2.15e+03,3e+03]	0.33557489379706873
7100	7600	8100	0.005300520427207716	0.009583763075175028	2849.846153846154	(2.15e+03,3e+03]	1.0300011554468893
