POS	pi	h	depth
44	0	NA	12
434	0.4432651386966107	0.6329558862667086	198
443	0.19769119769119764	0.34732913691097467	154
602	0.13880597014925367	0.2654460308093813	201
670	0	NA	164
672	0.13137485311398336	0.2543374917868983	185
868	0.1886534518113465	0.333560212104988	77
897	0	NA	104
941	0.2284988892415106	0.38721237518636065	138
1001	0.1694736842105263	0.30738176317319826	76
1013	0.16550116550116548	0.3019441816470201	78
1349	0.4173387096774193	0.5941300227248385	32
1444	0.385739333722969	0.5669425810423865	59
1628	0.408397225264695	0.5958875897984424	166
1813	0.4040404040404041	0.5859526183035508	55
2129	0.2531986531986533	0.41474282861771744	55
2317	0.4017917133258679	0.586888904171389	95
2736	0.11283582089552228	0.2261453774932627	201
2789	0.47468473555430074	0.6657037098905403	253
2790	0	NA	24
2868	0.12564102564102556	0.24493002679463532	105
2885	0.33976833976833976	0.5195798391305154	112
2904	0.32864030858244936	0.5930358007746159	306
3036	0.42227328431372546	0.6115248010099188	256
3037	0	NA	99
3431	0	NA	8
3565	0.07692307692307697	0.16302362949436594	26
3802	0.24230769230769222	0.4021608717849551	65
3832	0.3368794326241135	0.5117400734174093	48
4184	0	NA	31
4319	0.188558352402746	0.3345324276231762	115
4321	0.40336879432624123	0.5840859317593606	48
4534	0.19626833784361183	0.34493117695288145	119
4777	0.3339382940108892	0.5098156995816887	58
4861	0.12076095947063686	0.23810973994596282	156
5792	0.20649529249973553	0.35876102564058293	138
5873	0.1301476301476302	0.25219952094153825	144
5895	0.1372549019607842	0.2626742151049734	136
6045	0.1867816091954022	0.3325942143118925	145
6139	0.2957217306993092	0.4704401834128654	223
6153	0.3300777356986246	0.5098156995816887	174
6183	0	NA	180
6193	0.12931034482758616	0.2509548043576197	145
6463	0.17773059057730575	0.32106955428099865	275
6504	0.11843590802698624	0.23504356086127	270
6516	0.31096563011456635	0.4883753620158324	235
6533	0.12346394620913514	0.24260885565338502	228
6589	0.1318950316357223	0.25554774549635356	311
6599	0.08094885100074124	0.17457802278461543	285
6622	0.3555555555555555	0.5297061990576545	36
6670	0.11076040172166438	0.2229217534989013	205
6682	0.33519137866963955	0.5159878967418371	208
6696	0.1301476301476302	0.25219952094153825	144
7196	0.4651162790697673	0.6467238528694028	43
7224	0.27428571428571447	0.439669879401343	50
7246	0.43448275862068975	0.6108643020548935	30
7262	0.2557377049180329	0.41841985495593104	61
7273	0.3716608594657376	0.5488743844849944	42
7312	0.4012066365007542	0.5824922438849605	52
7447	0.12677371172516805	0.2466184380046868	104
7654	0.16214896214896224	0.2976803550821653	91
7785	0.12931034482758616	0.2509548043576197	145
7793	0.14680429569387965	0.27665579081059766	139
7824	0.12942314256456947	0.2514319251511464	188
7842	0.03370129870129879	0.08630625234428768	176
7889	0.41011619958988377	0.5982695885852573	210
7905	0.10177678109366922	0.20862544254705606	187
8029	0.46675712347354137	0.6523807253137439	67
8056	0.15740105239075733	0.2910671247036172	94
8084	0.40993788819875776	0.5954002839805336	92
8092	0.1782595603733815	0.3196905981112379	82
8160	0.17579908675799086	0.31595829022878463	73
8211	0.26080586080586077	0.42681695528136204	105
8293	0.023529411764705747	0.06396171410398296	85
8306	0.22058823529411764	0.37677016125643675	120
8376	0.4301120448179272	0.6177606326574299	120
8393	0.02666666666666651	0.07081055490819625	75
8464	0.30924369747899155	0.48365398151328826	85
8481	0.19783197831978314	0.3460050960464662	82
8628	0.16358325219084713	0.2993044143335636	79
8668	0.21913580246913575	0.3737562880073295	81
9314	0.2873684210526316	0.4575513743696661	76
9343	0.19999999999999998	0.34883209584303193	81
9344	0	NA	37
9424	0	NA	48
9453	0.24884792626728117	0.410116318288409	63
9877	0.32405063291139224	0.5004024235381879	80
10029	0.0634584875727127	0.1425058673927378	62
10065	0.3813559322033898	0.5623351446188083	60
10198	0	NA	140
10386	0.2713773681515617	0.43755818118196266	63
10447	0	NA	13
10449	0	NA	12
10857	0.534549138804458	0.8978595477720845	141
10871	0.2674111078460182	0.4340332753814761	83
10882	0.15895278167367932	0.2932350938509379	93
11041	0.33216783216783224	0.5117400734174093	144
11042	0.2821824381926684	NA	69
11074	0.6090008613264428	1.1109476872468371	216
11087	0.1336073997944502	0.25731864054383163	140
11095	0.19338842975206616	0.34112513918008236	121
11179	0.2999176585073734	0.47600209311991826	366
11287	0.5013168649532285	0.6930868001634132	364
11289	0.6666666666666666	0.6365141682948128	3
11291	0.5384615384615384	0.6931471805599453	14
11296	0	NA	2
11301	0.17783335527181784	0.3209564932889786	214
11540	0.23642876825571796	0.3978675998678114	191
11577	0.17196083114401717	0.31246477985873944	159
11628	0.2896776825785393	0.4628237580387805	172
11644	0.14208721215090642	0.2699701846576119	157
11727	0	NA	258
11804	0.06624386118970953	0.1491658598038899	555
11845	0.2314241037817803	0.45710229325542967	558
11888	0.07955121431578228	0.17239290310804645	483
11905	0.32073732718893994	0.5004024235381879	435
11990	0.41656317785173774	0.6063199943529922	492
12362	0.2191011235955056	0.3740280946470811	89
12505	0.31430745814307465	0.48879489587371894	73
